"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,open-cluster-management-agent-addon,config-policy-controller,registry.redhat.io/rhacm2/kube-rbac-proxy-rhel9@sha256:8485d7466de8b9184ea79587cbad40789e9afadd6807623616e8b87aca811138,2024-05-02T09:21:10.540405280Z
salsa-cluster,openshift-cnv,kubemacpool-cert-manager,registry.redhat.io/container-native-virtualization/kubemacpool-rhel9@sha256:21139ce9b582392d85193b2a0d82e19428fb65d2d9e7c8cef6ce8d64bffc3230,2024-04-18T02:45:45.590144969Z
salsa-cluster,open-cluster-management-agent-addon,klusterlet-addon-search,registry.redhat.io/rhacm2/search-collector-rhel9@sha256:57b9c4f4f541b21d24b84fba24b2e4b6b438faacc7796f1eeafff3a5479a56d5,2024-05-02T09:07:25.166895139Z
salsa-cluster,openshift-cnv,centos-stream9-image-cron-55d7d600,registry.redhat.io/container-native-virtualization/virt-cdi-importer-rhel9@sha256:11602c4a8e9faeb63bfe8e8e93817097343335a1d15a89ddb726a67680cb2637,2024-05-05T13:57:40.301135428Z
salsa-cluster,openshift-cnv,centos-stream8-image-cron-0a98430b,registry.redhat.io/container-native-virtualization/virt-cdi-importer-rhel9@sha256:11602c4a8e9faeb63bfe8e8e93817097343335a1d15a89ddb726a67680cb2637,2024-05-05T13:57:40.301135428Z
salsa-cluster,openshift-cnv,fedora-image-cron-9a2fb6e7,registry.redhat.io/container-native-virtualization/virt-cdi-importer-rhel9@sha256:11602c4a8e9faeb63bfe8e8e93817097343335a1d15a89ddb726a67680cb2637,2024-05-05T13:57:40.301135428Z
salsa-cluster,openshift-cnv,centos-7-image-cron-bb8ee5f7,registry.redhat.io/container-native-virtualization/virt-cdi-importer-rhel9@sha256:11602c4a8e9faeb63bfe8e8e93817097343335a1d15a89ddb726a67680cb2637,2024-05-05T13:57:40.301135428Z
salsa-cluster,openshift-cnv,hco-operator,registry.redhat.io/container-native-virtualization/hyperconverged-cluster-operator-rhel9@sha256:3ed996fef6e8e17edc39e277000930b255de4d40968c9349995534cb0e2c0b07,2024-05-07T14:49:39.496055689Z
salsa-cluster,openshift-cnv,cdi-operator,registry.redhat.io/container-native-virtualization/virt-cdi-operator-rhel9@sha256:2656f57b590cf4dd254c949da7c0603d5019a16a8002f771ff9329270a74b2ea,2024-05-05T13:55:26.047718138Z
salsa-cluster,openshift-cnv,mtq-operator,registry.redhat.io/container-native-virtualization/mtq-operator-rhel9@sha256:dd0040b4d143c894eb7c0e7ed13dce3db1be6f606e1097c90754ad32c555fcaa,2024-04-17T00:28:47.780678315Z
salsa-cluster,openshift-cnv,aaq-operator,registry.redhat.io/container-native-virtualization/aaq-operator-rhel9@sha256:92e21e7aef6975cc0e56c6aa613fafa2a528e05af34f9672ccbb6fcdd161bab6,2024-05-08T12:48:22.157464964Z
salsa-cluster,csi-driver-nfs,snapshot-controller,registry.k8s.io/sig-storage/snapshot-controller:v6.3.3,2023-12-26T18:17:16.050601366Z
